player1boxes,player2boxes,ballpositions,ballvelocities
"(668.0, 643.0, 780.0, 839.0)","(1151.074930029681, 194.72199037571212, 1200.3737046131998, 277.9229611819706)","(843.0, 516.0)",1272.7922061357856
"(664.0, 643.0, 772.0, 838.0)","(1150.4257742982002, 194.9668689862887, 1199.479241354665, 277.597309871687)","(831.0, 531.0)",1152.5623627379127
"(657.0, 646.0, 764.0, 837.0)","(1149.7598116175766, 195.4951572135067, 1199.5240581749597, 277.77950573918537)","(819.0, 540.0)",900.0
"(652.0, 642.0, 752.0, 838.0)","(1148.926968084783, 196.07375212395132, 1199.3310302233515, 278.41797511515796)","(807.0, 561.0)",1451.206394693739
"(654.0, 644.0, 736.0, 837.0)","(1148.2277800900413, 196.88028682814263, 1199.5019032056182, 279.3844915840605)","(792.0, 573.0)",1152.5623627379127
"(651.0, 647.0, 726.0, 838.0)","(1146.5312286262365, 196.39244774755372, 1198.2648897257773, 278.9704566146713)","(783.0, 576.0)",569.2099788303083
"(645.0, 646.0, 718.0, 840.0)","(1145.211676269571, 196.99963487466712, 1198.2021130251437, 278.9489138339877)","(771.0, 573.0)",742.1590126111789
"(634.0, 644.0, 714.0, 839.0)","(1143.5304673911942, 195.68394400032793, 1196.6669476781221, 277.48873863864816)","(762.0, 573.0)",540.0
"(636.0, 645.0, 711.0, 838.0)","(1141.2194814667957, 194.55621073046308, 1194.557956225516, 276.0885418725688)","(756.0, 579.0)",509.11688245431424
"(624.0, 645.0, 711.0, 835.0)","(1138.2869934542268, 194.62226377657026, 1191.3789857067204, 275.8227828593057)","(741.0, 582.0)",917.8235124467012
"(618.0, 646.0, 712.0, 834.0)","(1137.1361845642891, 194.30511160513075, 1190.2520844797286, 276.1401676731361)","(729.0, 588.0)",804.9844718999243
"(613.0, 649.0, 710.0, 831.0)","(1134.5764871521496, 192.12223608701396, 1188.2562510105345, 272.72809379132883)","(723.0, 588.0)",360.0
"(605.0, 647.0, 706.0, 833.0)","(1132.3039019191312, 191.1579888232592, 1185.6929841868912, 272.09917524789427)","(708.0, 591.0)",917.8235124467012
"(597.0, 646.0, 704.0, 832.0)","(1128.371796433139, 189.8871312618094, 1183.17524284218, 272.84651416635245)","(702.0, 597.0)",509.11688245431424
"(588.0, 646.0, 702.0, 831.0)","(1126.3125578051117, 187.6443670708539, 1181.6663945732753, 271.9571975393195)","(690.0, 600.0)",742.1590126111789
"(579.0, 647.0, 706.0, 832.0)","(1123.6676083816617, 184.23974572598289, 1179.6141225312379, 270.50779012206874)","(678.0, 606.0)",804.9844718999243
